# Maps model labels to diseases that actually exist in data/diseases.txt.
# Format:
# RawModelLabel|DiseaseName
#
# Blank right-hand side = no exact equivalent in Farm Assist database.
# Do NOT force unrelated diseases/pests into an existing category.

Apple Scab|Scab Disease
Apple with Black Rot|
Cedar Apple Rust|Rust Fungus
Healthy Apple|
Healthy Blueberry Plant|
Cherry with Powdery Mildew|Powdery Mildew
Healthy Cherry Plant|
Corn (Maize) with Cercospora and Gray Leaf Spot|Leaf Spot
Corn (Maize) with Common Rust|Rust Fungus
Corn (Maize) with Northern Leaf Blight|Leaf Blight
Healthy Corn (Maize) Plant|
Grape with Black Rot|
Grape with Esca (Black Measles)|
Grape with Isariopsis Leaf Spot|Leaf Spot
Healthy Grape Plant|
Orange with Citrus Greening|
Peach with Bacterial Spot|
Healthy Peach Plant|
Bell Pepper with Bacterial Spot|
Healthy Bell Pepper Plant|
Potato with Early Blight|Early Blight
Potato with Late Blight|Late Blight
Healthy Potato Plant|
Healthy Raspberry Plant|
Healthy Soybean Plant|
Squash with Powdery Mildew|Powdery Mildew
Strawberry with Leaf Scorch|
Healthy Strawberry Plant|
Tomato with Bacterial Spot|
Tomato with Early Blight|Early Blight
Tomato with Late Blight|Late Blight
Tomato with Leaf Mold|Leaf Spot
Tomato with Septoria Leaf Spot|Leaf Spot
Tomato with Spider Mites or Two-spotted Spider Mite|
Tomato with Target Spot|Leaf Spot
Tomato Yellow Leaf Curl Virus|
Tomato Mosaic Virus|Mosaic Virus
Healthy Tomato Plant|
